84,1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,2,1
47,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,1
15,2,2,1,2,2,1,1,2,2,2,2,2,4,2,2,2,7
81,2,2,1,2,2,2,2,2,2,1,2,2,0,2,2,2,7
36,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,2,1
72,2,2,2,2,2,2,1,2,2,1,1,2,8,1,2,2,7
19,2,2,1,2,2,1,1,1,1,2,2,1,0,1,2,1,4
2,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,1,1
14,2,2,1,2,2,2,1,2,2,2,2,2,0,2,2,2,7
31,1,2,2,1,2,2,2,1,1,1,2,2,4,1,1,1,1
18,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,1,1
85,2,2,1,2,2,1,1,2,2,2,2,2,5,2,2,2,7
48,1,2,2,1,2,1,1,1,1,1,2,2,4,1,2,1,1
63,1,2,1,1,2,1,1,2,1,1,2,2,4,1,2,1,1
68,1,2,2,1,2,2,1,1,1,1,2,2,4,1,1,1,1
77,2,2,1,2,2,1,1,2,2,2,1,2,0,2,2,2,7
52,2,2,1,2,2,1,1,1,1,1,2,2,4,1,2,2,5
45,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,1
40,1,2,1,2,1,2,2,2,2,1,2,2,6,2,2,2,6
83,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2
93,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,1
10,1,2,2,1,2,2,2,1,1,1,2,2,4,2,1,2,1
60,2,2,1,2,2,1,1,1,1,2,2,1,0,1,2,1,4
87,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,1,2
79,2,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,2
86,2,2,1,2,2,1,1,1,1,2,1,1,0,1,2,1,4
6,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,1,1
24,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2
30,2,2,1,2,1,2,2,2,2,1,2,2,6,2,2,2,6
22,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2
9,2,2,1,2,2,1,1,1,1,2,2,1,0,1,2,2,4
70,1,2,2,1,2,2,2,1,1,1,2,2,4,1,1,1,1
7,1,2,2,1,2,2,2,1,1,1,2,2,4,1,1,1,1
95,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,1,2
13,2,2,1,2,2,1,1,1,1,2,2,1,0,1,2,2,4
51,1,2,1,2,1,2,2,2,2,1,2,2,6,2,2,2,6
28,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,1,1
33,2,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,2
78,2,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,2
37,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2
58,2,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,2
82,2,2,1,2,2,1,2,1,1,2,2,1,0,1,2,2,4
49,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,2,1
55,1,2,2,1,2,2,2,1,1,1,2,2,4,1,2,1,1
20,2,2,2,1,2,1,1,1,1,1,2,1,0,1,2,1,1
39,1,2,1,2,1,2,2,2,2,1,1,2,6,2,1,2,6
35,1,2,2,1,2,2,2,1,1,1,2,2,4,1,1,2,1
98,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,1
67,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,1
26,2,2,1,2,2,1,1,1,1,1,1,2,4,2,2,2,5
11,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,1
17,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2
74,1,2,2,1,2,1,1,1,1,1,2,1,0,2,2,1,1
57,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2
71,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2
59,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2
75,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,1
34,2,2,1,2,2,1,2,1,1,2,2,1,0,1,2,2,4
44,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,1
80,2,2,1,2,2,2,1,1,1,1,2,2,0,1,2,2,3
56,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2
5,1,2,2,1,2,2,1,1,1,1,2,2,4,1,2,1,1
73,2,2,1,2,2,1,2,1,1,2,2,1,0,1,2,2,4
41,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2
53,2,2,1,2,2,1,1,2,2,2,2,2,8,2,2,1,7
32,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1
62,2,2,1,2,2,2,1,1,1,1,1,2,0,1,2,2,3
65,1,2,2,1,2,2,2,1,1,1,2,2,4,1,1,1,1
