34,4,1,4,2,11,1,2,3,18,11,123,1,124,1,3,2
52,8,1,3,2,134,1,2,3,15,5,81,2,295,3,3,2
34,4,1,4,2,714,1,2,3,21,11,328,4,113,27,3,2
37,11,3,4,2,6101,2,2,3,6,2,141,1,-1,0,1,1
51,10,2,2,2,343,1,2,1,30,5,78,2,-1,0,1,2
56,12,2,2,2,72,1,1,3,7,5,263,1,357,4,3,2
39,12,1,2,2,27,2,1,3,7,7,290,1,-1,0,1,2
35,8,1,2,2,1290,1,2,3,24,7,211,1,-1,0,1,2
32,11,3,4,2,705,1,2,3,20,4,20,4,-1,0,1,2
32,11,3,4,2,6746,2,2,3,11,11,199,1,-1,0,1,1
66,10,1,2,2,154,2,2,3,15,7,268,5,181,2,3,1
42,11,1,4,2,239,1,1,1,6,5,191,3,-1,0,1,2
41,11,3,4,2,1026,2,2,3,29,8,59,6,-1,0,1,2
37,4,1,4,2,4842,1,2,3,25,11,170,1,-1,0,1,2
44,8,1,2,2,2523,1,2,1,29,5,1236,2,-1,0,1,2
29,4,3,4,2,2637,1,2,3,18,5,179,3,-1,0,1,2
32,8,1,3,2,1287,1,2,3,14,4,297,2,-1,0,1,2
58,10,2,3,2,593,2,1,1,9,6,204,2,-1,0,1,2
54,4,2,4,2,1288,2,2,3,28,1,515,3,-1,0,1,2
34,2,3,3,2,286,1,2,3,13,5,329,1,-1,0,1,2
36,11,3,2,2,-15,1,2,1,6,5,341,3,-1,0,1,2
38,5,1,3,2,3577,2,2,1,6,6,190,2,-1,0,1,2
56,10,2,2,2,212,2,1,2,17,7,27,1,-1,0,1,2
37,3,1,4,2,594,1,2,3,4,2,62,1,-1,0,1,2
44,4,1,2,2,-665,2,2,3,30,7,342,3,-1,0,1,2
26,4,3,4,2,212,2,2,3,2,2,62,1,-1,0,1,2
29,11,3,2,2,120,2,2,3,2,2,110,3,-1,0,1,2
46,5,1,3,2,965,2,2,1,5,5,177,1,-1,0,1,2
31,4,3,4,2,78,1,2,3,22,7,369,2,-1,0,1,2
40,2,1,2,2,67,2,1,1,20,6,70,5,-1,0,1,2
53,5,1,3,1,42,2,2,3,28,8,81,4,-1,0,1,2
30,8,1,2,2,1445,1,2,1,20,5,140,1,-1,0,1,2
44,4,1,4,2,4333,2,2,3,6,8,68,6,-1,0,1,2
34,4,1,4,2,4859,2,2,3,30,4,113,1,37,1,2,2
53,5,1,3,2,0,2,2,3,8,10,148,1,-1,0,1,2
32,4,1,4,2,1522,1,2,1,23,5,302,3,-1,0,1,2
30,4,1,2,2,0,2,2,3,22,8,78,2,-1,0,1,2
39,4,3,4,2,406,1,2,1,7,5,68,1,-1,0,1,2
32,8,1,3,2,2456,1,2,3,17,7,1151,1,-1,0,1,2
53,6,1,1,2,352,2,2,3,21,11,199,1,-1,0,1,2
28,2,1,2,2,-393,1,1,3,7,5,247,2,349,2,3,2
48,5,1,4,2,5473,2,2,3,24,2,127,2,184,2,4,1
56,12,1,2,2,4309,1,2,1,9,6,465,6,-1,0,1,2
38,8,1,3,2,630,1,2,1,23,5,201,3,-1,0,1,2
45,11,1,2,2,280,1,2,3,4,5,562,3,168,2,2,2
53,10,1,3,2,383,1,2,1,14,5,171,1,-1,0,1,2
30,11,1,4,2,606,1,2,3,30,4,551,1,-1,0,1,2
26,4,3,4,2,2692,2,2,1,28,5,159,2,-1,0,1,2
25,4,3,4,2,808,2,2,3,18,9,267,2,114,2,3,1
32,2,1,2,2,2,1,2,3,25,7,132,5,-1,0,1,2
53,5,1,3,2,2581,2,2,3,15,4,99,1,-1,0,1,2
35,9,1,2,2,188,1,1,1,5,6,1865,2,-1,0,1,1
37,2,1,2,2,1049,2,2,3,31,7,126,5,-1,0,1,2
55,10,1,4,2,2929,2,2,1,16,6,556,3,-1,0,1,2
26,2,3,2,2,82,1,2,1,5,5,228,1,-1,0,1,2
31,8,1,3,2,1601,2,2,3,7,4,615,1,137,3,3,2
